评论者网名,评价,评论,评论时间,评论地点,评论点赞数
Jas,推荐,倪妮的角色不错，反转也挺有意思的，另外看到很多人因为渣男看到b超照片后悔打低分，我其实觉得他根本不是在哭孩子，同意上面某个评论的说法，“赌棍只是哭自己沉不住气，把牌桌踹翻了才发现，草，其实早抓了一手赢面这么大的牌罢了”,2023-06-26 22:39:13,北京,383
天真的生活家,还行,油腻溢出屏幕😰不适的点很多，朱一龙很用力在演戏的痕迹，倪妮努力想凹飒的人设，浮夸的镜头语言和csc味儿拉满的打光，铺满全片噔噔咚的bgm，傻白甜永远相信男人的富家女和经典杀妻凤凰男刻板印象更刻板，以及，最后男主悔恨的原因是愿意为我生孩子证明爱我😅病院那一段太像恐怖游戏的氛围和视角了，代入感极强，有被吓到。不过，谁他妈会主动进笼子里看烟花啊！,2023-06-28 22:51:28,重庆,375
ChuuWeii,推荐,一般吧。他绝不是看到怀孕而悔过，他只是后悔手段用错，否则直接用小孩绑住木子，彻头彻尾的坏种一个,2023-07-01 18:06:35,江苏,216
my_type,力荐,能抢到票也太不容易了，终于看到了想看的电影。看完我只想说智商不够，男主演的也太好了，超乎想象，快点上映想二刷了🥹,2023-04-23 21:00:10,北京,3254
太空小肚子,较差,再看陈思诚的电影我就是脑残,2023-06-27 22:07:38,浙江,575
秋库布里克,推荐,在可看性上搞得非常花，无论是情节的多重反转还是视觉上不断的冷暖撞色，把“生怕观众觉得无聊”写在了脸上。当然，这种片也不可避免的存在谜题唬人谜案孱弱，人物动机被情节扭着走之类的通病，但还在可忍受范围内。尤其最后结局处理的甚至比原版更好，落在女性互助的点上是个非常巧妙的巧思。凤凰男，girls help girls，不安全的东南亚，每一脚都踩在微博热搜话题上。,2023-06-19 15:43:42,北京,821
Duende,还行,败笔就是文咏珊没搞女同,2023-06-24 18:34:11,四川,464
明天有事得睡了,还行,咱就是说 一个精心策划布局设计自己老婆的人 你奢望他看一眼孩子就后悔当初是吧……,2023-06-24 14:02:27,江苏,433
"Orange,",较差,我觉得比看了一部烂片更让人难过的是，你周围大多数的「普通人」都觉得：“哇，拍的真好，人性好黑暗啊”。陈思诚真的好好查一查他吧。,2023-07-02 21:02:32,北京,276
Two Max,还行,看得时候就觉得李木子是男性YY出来的完美恋人——内向、文静、美丽、学艺术、话不多、有钱，还父母双亡。同时要恋爱脑，无条件支持男主，让他走上事业巅峰。陈思诚这是当代罗辑啊。,2023-07-01 01:03:56,陕西,290
Bourbonvio,推荐,"第一，不要恋爱脑；
第二，警惕网贷；
第三，不要相信赌徒。",2023-06-22 17:20:34,江苏,642
muuuuuzi,推荐,姐妹们 如果遇见犯错道歉直接下跪的男人，一定逃逃逃,2023-06-25 01:07:28,四川,353
遥望晨时还似雪,推荐,恐婚恐育教材影片,2023-06-22 17:35:04,安徽,494
Kano,推荐,最可怕的不是悬疑，而是那场畸形秀,2023-06-26 09:11:01,浙江,300
,,,,,
painapple,很差,但凡看过一点悬疑小说、有点悬疑小说知识储备的人，都只会觉得陈思诚就是个缝合怪和抄袭狗而已吧。。感觉自己买电影票去看就是骨子里的贱。。,2023-06-23 22:46:47,广东,747
遥望晨时还似雪,推荐,恐婚恐育教材影片,2023-06-22 17:35:04,安徽,494
家禽腿部保健,较差,你们知道我极少给电影打分。我浪费了写稿发一次广告的机会，陪人去看朱一龙，好看也就算了，结果给我看了些啥！！！损失巨大，怒😭,2023-06-27 16:49:50,上海,188
Kano,推荐,最可怕的不是悬疑，而是那场畸形秀,2023-06-26 09:11:01,浙江,300
杉崎四季,很差,非常神奇的观影体验，全程仿佛被人绑起来倒吊着往耳朵鼻子眼睛嘴里面灌屎一样。另外一定要说的是，我厌恶和鄙视一切有意或者无意表达出“穷生奸计，富长良心”这样思想的文艺作品以及它们的创作者，生理上厌恶，真的恶心。,2023-06-30 23:59:59,山东,334
南悠一,较差,Metoo 和Girls help girls就这样被偷鸡了！,2023-06-19 19:06:15,北京,607
citizenships,较差,为了最终的底前面很多逻辑都让人难以接受，而且还那么长，漏洞就更加明显。最终结尾让人厌恶，巨象的婚姻的囚笼，对应的答案居然是「她都为你怀了孩子，你总该后悔了吧？」,2023-06-26 20:22:19,上海,444
嘟小七,推荐,总体完整，朱一龙演得不错。但是会让赌徒流泪的，一定不会是一张b超照片。,2023-06-28 12:21:03,福建,221
骤雨至,还行,杀了老婆半点不后悔得知顺手连孩子一起杀了才开始失声痛哭，真是无可救药的一个逼人，但是又好真实，这种男的大概也只会因为这种事后悔了😅。其实也没有多反转多精彩，甚至从理性的角度来说感觉还挺俗的，但是也算得上各方面完成的还行，就能看的水平。,2023-06-22 17:17:39,江苏,452
少年赵里昂,还行,给人一种差生特别想考个好成绩，一笔一画特别认真的做考卷，最后考了个及格分，自己还特满意的感觉。,2023-06-25 17:06:46,陕西,329
Soxtlas,还行,他悔悟了吗？他只是后悔没让木子把孩子生下来再杀了她.,2023-06-23 21:42:05,江苏,338
学术小狗,还行,认为“女人能用孩子挽回男人的心，男人看见孩子就会痛改前非”是怎样的一种东亚迷思啊………周围的男生女生全笑了。,2023-06-28 21:49:27,广东,248
Pacino,很差,"披着悬疑的皮，剧本看出来是“精心”设计过要讨好观众的，只可惜取巧错了地方。下流，低俗取向，结尾还要恶心一把女性，电影名字里带了“她”，却在消费女性，国产电影什么时候才能真正尊重女性，以陈思诚为首的男性创作者真的……
总之，没有看的必要，端午节还是和朋友家人好好玩吧。",2023-06-22 14:53:32,四川,1064
Cutlet,还行,给垃圾男擦屁股不如搞同,2023-06-22 15:41:40,江苏,450
灵境,推荐,李木子和沈曼应该在一起 彩蛋不是这个我很失望,2023-06-26 19:21:39,湖南,251
Dr.Ray,,适合朱一龙粉丝（无贬义，或者说，喜欢朱一龙的人会看得非常开心，另外这里的扮相也太像梁朝伟了吧）。不该对现在的陈思诚再有什么期望了。文咏珊艳压四方。,2023-03-23 21:58:53,北京,486
Hyukoh.,较差,一星给看不见的客人，一星给消失的爱人。真的是‘’借鉴‘’都不会啊😅,2023-06-25 21:16:53,四川,395
Serein,较差,"🤿
烂片！
剧情逻辑根本都不能自洽，镜头语言也烂的要死，但是为什么这么能卖呢？
陈思诚我不得不说，你真的太懂流量了，先是要了泰国那个案件的版权，然后打上女性视角的标签，先把话题度拉满，把观众骗进来，结果发现拍了一部纯纯来恶心女性的直男癌电影
其实电影本身可以打三颗星的，但是电影背后的价值观让我被纯纯恶心到了",2023-06-29 00:29:36,北京,268
祝祝先生,推荐,片尾彩蛋属实没有必要,2023-07-01 07:41:04,江西,134
枨不戒,推荐,女人追求的是浪漫爱，男人考虑的是现实爱；女人在感情的冲动下愿意献祭自己，成为一个圣母般的拯救者，男人却在理性的斟酌下选择对自己最有利的选项，而且会自我美化；女人发现一切都是错误的时候，会心软，会有侥幸心理；而男人在撕破脸的时候，却不会留任何退路。而这就是爱情最残忍的地方。,2023-06-22 12:07:12,四川,308
,,,,,
